,date,unit_id,chalet_id,chalet_title,code,final_price,booking_count,rating,city,neighborhood
0,2022-08-27,13,12,شاليه دورين بمسبح بحاجز,100,730,6,7.0,الرياض,حي الرمال
1,2022-08-31,13,12,شاليه دورين بمسبح بحاجز,100,580,1,7.0,الرياض,حي الرمال
2,2022-09-01,13,12,شاليه دورين بمسبح بحاجز,100,960,1,7.0,الرياض,حي الرمال
3,2022-08-25,15,14,شاليه بجلسة تطل على نافوره مائيه,103,1000,6,6.6,الرياض,حي القيروان
4,2022-08-27,15,14,شاليه بجلسة تطل على نافوره مائيه,103,800,8,6.6,الرياض,حي القيروان
5,2022-08-31,15,14,شاليه بجلسة تطل على نافوره مائيه,103,800,5,6.6,الرياض,حي القيروان
6,2022-09-01,15,14,شاليه بجلسة تطل على نافوره مائيه,103,1000,5,6.6,الرياض,حي القيروان
7,2022-08-25,16,14,شاليه بمسبح خارجي,105,1200,6,6.6,الرياض,حي القيروان
8,2022-08-31,16,14,شاليه بمسبح خارجي,105,900,9,6.6,الرياض,حي القيروان
9,2022-09-01,16,14,شاليه بمسبح خارجي,105,1200,9,6.6,الرياض,حي القيروان
10,2022-08-25,17,14,شاليه بجلسة على المسبح,104,1600,6,6.6,الرياض,حي القيروان
11,2022-09-01,17,14,شاليه بجلسة على المسبح,104,1600,7,6.6,الرياض,حي القيروان
12,2022-08-31,18,14,شاليه بالعاب اطفال وجلسة خارجيه,107,1400,5,6.6,الرياض,حي القيروان
13,2022-09-01,18,14,شاليه بالعاب اطفال وجلسة خارجيه,107,1600,5,6.6,الرياض,حي القيروان
14,2022-08-27,20,17,شاليه بمجلس رئيسي,193,900,11,8.5,الرياض,حي الرمال
15,2022-08-31,20,17,شاليه بمجلس رئيسي,193,900,14,8.6,الرياض,حي الرمال
16,2022-09-01,20,17,شاليه بمجلس رئيسي,193,1200,14,8.6,الرياض,حي الرمال
17,2022-08-27,22,17,شاليه بمسبح وجلسة خارجية,194,900,12,8.5,الرياض,حي الرمال
18,2022-08-31,22,17,شاليه بمسبح وجلسة خارجية,194,900,8,8.6,الرياض,حي الرمال
19,2022-09-01,22,17,شاليه بمسبح وجلسة خارجية,194,1200,9,8.6,الرياض,حي الرمال
20,2022-08-27,24,20,شاليه بجلسة خارجية,700,1300,9,8.1,الرياض,حي الرمال
21,2022-08-31,26,20,شاليه بمسبح خارجي بحاجز ,701,1300,6,8.1,الرياض,حي الرمال
22,2022-09-01,26,20,شاليه بمسبح خارجي بحاجز ,701,1400,6,8.1,الرياض,حي الرمال
23,2022-08-27,27,21,شاليه بركن شواء وألعاب أطفال,200,585,1,8.1,الرياض,حي الرمال
24,2022-08-31,27,21,شاليه بركن شواء وألعاب أطفال,200,585,1,8.1,الرياض,حي الرمال
25,2022-08-25,41,21,شاليه بركن شواء وجلسة خارجية,202,720,5,8.1,الرياض,حي الرمال
26,2022-08-27,41,21,شاليه بركن شواء وجلسة خارجية,202,585,5,8.1,الرياض,حي الرمال
27,2022-09-01,41,21,شاليه بركن شواء وجلسة خارجية,202,680,1,8.1,الرياض,حي الرمال
28,2022-08-25,54,26,شاليه بمسبح ومسطح اخضر,108,1000,0,7.7,الرياض,حي الرمال
29,2022-08-31,54,26,شاليه بمسبح ومسطح اخضر,108,800,0,7.7,الرياض,حي الرمال
30,2022-09-01,54,26,شاليه بمسبح ومسطح اخضر,108,1000,0,7.7,الرياض,حي الرمال
31,2022-08-25,55,26,شاليه بمسطح اخضر ومسبح,113,1300,0,7.7,الرياض,حي الرمال
32,2022-08-27,55,26,شاليه بمسطح اخضر ومسبح,113,1300,0,7.7,الرياض,حي الرمال
33,2022-08-31,55,26,شاليه بمسطح اخضر ومسبح,113,1000,0,7.7,الرياض,حي الرمال
34,2022-08-25,56,26,شاليه بمسطح اخضر وجلسة خارجية,110,1300,0,7.7,الرياض,حي الرمال
35,2022-08-27,56,26,شاليه بمسطح اخضر وجلسة خارجية,110,1300,0,7.7,الرياض,حي الرمال
36,2022-08-31,56,26,شاليه بمسطح اخضر وجلسة خارجية,110,1000,0,7.7,الرياض,حي الرمال
37,2022-08-31,57,27,شاليه بجلسة خارجية على المسبح ,500,490,1,7.4,الرياض,حي الرمال
38,2022-08-25,58,27, بركن شواء ,501,590,0,7.4,الرياض,حي الرمال
39,2022-09-01,58,27, بركن شواء ,501,590,0,7.4,الرياض,حي الرمال
40,2022-08-25,59,20,شاليه بصالة سينما,702,1200,10,8.1,الرياض,حي الرمال
41,2022-08-27,59,20,شاليه بصالة سينما,702,900,10,8.1,الرياض,حي الرمال
42,2022-09-01,59,20,شاليه بصالة سينما,702,1200,11,8.1,الرياض,حي الرمال
